Size, Seq, Par, Libc
100, 0.000015, 0.004201, 0.000025
100, 0.000015, 0.005207, 0.000024
100, 0.000014, 0.005079, 0.000024
100, 0.000014, 0.004811, 0.000024
100, 0.000014, 0.005799, 0.000024
1000, 0.000198, 0.012228, 0.000333
1000, 0.000198, 0.014357, 0.000329
1000, 0.000198, 0.015457, 0.000330
1000, 0.000197, 0.019647, 0.000332
1000, 0.000256, 0.017808, 0.000330
10000, 0.002578, 0.065866, 0.002878
10000, 0.002483, 0.031902, 0.002928
10000, 0.002596, 0.064033, 0.002880
10000, 0.002417, 0.047307, 0.002895
10000, 0.002469, 0.053503, 0.002879
100000, 0.029785, 0.066583, 0.032953
100000, 0.029351, 0.062107, 0.049917
100000, 0.032778, 0.090962, 0.038079
100000, 0.033216, 0.119181, 0.050911
100000, 0.034909, 0.117213, 0.051552
1000000, 0.355819, 0.293405, 0.393218
1000000, 0.329251, 0.297471, 0.391873
1000000, 0.339674, 0.301264, 0.394512
1000000, 0.355871, 0.249179, 0.399581
1000000, 0.354357, 0.301281, 0.389765
