Size, Type, Time
200000, "Built-in", 0.074370
200000, "Sequential", 0.070835
200000, "Parallel", 0.110810
200000, "Built-in", 0.069866
200000, "Sequential", 0.064190
200000, "Parallel", 0.100132
200000, "Built-in", 0.075167
200000, "Sequential", 0.062600
200000, "Parallel", 0.093971
200000, "Built-in", 0.072112
200000, "Sequential", 0.063425
200000, "Parallel", 0.102153
200000, "Built-in", 0.071672
200000, "Sequential", 0.064424
200000, "Parallel", 0.096767
200000, "Built-in", 0.069169
200000, "Sequential", 0.062490
200000, "Parallel", 0.086326
200000, "Built-in", 0.070187
200000, "Sequential", 0.061910
200000, "Parallel", 0.110970
200000, "Built-in", 0.069514
200000, "Sequential", 0.061776
200000, "Parallel", 0.086217
200000, "Built-in", 0.071064
200000, "Sequential", 0.063687
200000, "Parallel", 0.093913
200000, "Built-in", 0.072138
200000, "Sequential", 0.073786
200000, "Parallel", 0.095224
200000, "Built-in", 0.070644
200000, "Sequential", 0.062742
200000, "Parallel", 0.096106
200000, "Built-in", 0.072559
300000, "Sequential", 0.094666
300000, "Parallel", 0.140572
300000, "Built-in", 0.108502
300000, "Sequential", 0.093758
300000, "Parallel", 0.123202
300000, "Built-in", 0.109608
300000, "Sequential", 0.092701
300000, "Parallel", 0.134192
300000, "Built-in", 0.106459
300000, "Sequential", 0.092044
300000, "Parallel", 0.118500
300000, "Built-in", 0.108534
300000, "Sequential", 0.097417
300000, "Parallel", 0.134111
300000, "Built-in", 0.108659
300000, "Sequential", 0.096817
300000, "Parallel", 0.137312
300000, "Built-in", 0.108997
300000, "Sequential", 0.095537
300000, "Parallel", 0.129526
300000, "Built-in", 0.129077
300000, "Sequential", 0.094527
300000, "Parallel", 0.127886
300000, "Built-in", 0.109952
300000, "Sequential", 0.099132
300000, "Parallel", 0.130371
300000, "Built-in", 0.111536
300000, "Sequential", 0.093958
300000, "Parallel", 0.142813
300000, "Built-in", 0.109407
300000, "Sequential", 0.095053
300000, "Parallel", 0.142417
300000, "Built-in", 0.115510
300000, "Sequential", 0.095392
300000, "Parallel", 0.124902
300000, "Built-in", 0.106885
300000, "Sequential", 0.090904
300000, "Parallel", 0.124106
300000, "Built-in", 0.108984
300000, "Sequential", 0.092313
300000, "Parallel", 0.126583
300000, "Built-in", 0.111086
300000, "Sequential", 0.092910
300000, "Parallel", 0.136623
300000, "Built-in", 0.108847
300000, "Sequential", 0.093223
300000, "Parallel", 0.130827
300000, "Built-in", 0.109755
300000, "Sequential", 0.092491
300000, "Parallel", 0.128321
300000, "Built-in", 0.107816
300000, "Sequential", 0.091873
300000, "Parallel", 0.124718
300000, "Built-in", 0.110464
300000, "Sequential", 0.100261
300000, "Parallel", 0.138300
300000, "Built-in", 0.109748
300000, "Sequential", 0.094077
300000, "Parallel", 0.124815
300000, "Built-in", 0.125187
300000, "Sequential", 0.094649
300000, "Parallel", 0.128160
300000, "Built-in", 0.108403
300000, "Sequential", 0.094878
300000, "Parallel", 0.136827
300000, "Built-in", 0.114404
300000, "Sequential", 0.095501
300000, "Parallel", 0.122328
300000, "Built-in", 0.107326
300000, "Sequential", 0.097293
300000, "Parallel", 0.133375
300000, "Built-in", 0.109598
300000, "Sequential", 0.095998
300000, "Parallel", 0.125337
300000, "Built-in", 0.117889
300000, "Sequential", 0.095161
300000, "Parallel", 0.129104
300000, "Built-in", 0.108409
300000, "Sequential", 0.097344
300000, "Parallel", 0.121857
300000, "Built-in", 0.109193
300000, "Sequential", 0.095191
300000, "Parallel", 0.155934
300000, "Built-in", 0.109053
300000, "Sequential", 0.095061
300000, "Parallel", 0.115433
300000, "Built-in", 0.109162
300000, "Sequential", 0.098033
300000, "Parallel", 0.107197
300000, "Built-in", 0.112718
400000, "Sequential", 0.128539
400000, "Parallel", 0.142217
400000, "Built-in", 0.166210
400000, "Sequential", 0.126170
400000, "Parallel", 0.158539
400000, "Built-in", 0.148952
400000, "Sequential", 0.126400
400000, "Parallel", 0.141713
400000, "Built-in", 0.148755
400000, "Sequential", 0.124327
400000, "Parallel", 0.138576
400000, "Built-in", 0.148607
400000, "Sequential", 0.128126
400000, "Parallel", 0.143839
400000, "Built-in", 0.147378
400000, "Sequential", 0.128526
400000, "Parallel", 0.149384
400000, "Built-in", 0.147888
400000, "Sequential", 0.124451
400000, "Parallel", 0.135476
400000, "Built-in", 0.160807
400000, "Sequential", 0.121811
400000, "Parallel", 0.134793
400000, "Built-in", 0.149006
400000, "Sequential", 0.143750
400000, "Parallel", 0.157255
400000, "Built-in", 0.151157
400000, "Sequential", 0.127799
400000, "Parallel", 0.138835
400000, "Built-in", 0.148362
400000, "Sequential", 0.125428
400000, "Parallel", 0.146100
400000, "Built-in", 0.146794
400000, "Sequential", 0.128222
400000, "Parallel", 0.162650
400000, "Built-in", 0.156262
400000, "Sequential", 0.128590
400000, "Parallel", 0.153981
400000, "Built-in", 0.148700
400000, "Sequential", 0.127409
400000, "Parallel", 0.163693
400000, "Built-in", 0.148365
400000, "Sequential", 0.125360
400000, "Parallel", 0.147808
400000, "Built-in", 0.149770
400000, "Sequential", 0.126046
400000, "Parallel", 0.141054
400000, "Built-in", 0.147823
400000, "Sequential", 0.140773
400000, "Parallel", 0.140548
400000, "Built-in", 0.147560
400000, "Sequential", 0.129352
400000, "Parallel", 0.132412
400000, "Built-in", 0.159748
400000, "Sequential", 0.129825
400000, "Parallel", 0.137876
400000, "Built-in", 0.147098
400000, "Sequential", 0.128938
400000, "Parallel", 0.147775
400000, "Built-in", 0.155225
400000, "Sequential", 0.124930
400000, "Parallel", 0.161524
400000, "Built-in", 0.146489
400000, "Sequential", 0.130343
400000, "Parallel", 0.148663
400000, "Built-in", 0.157112
400000, "Sequential", 0.128277
400000, "Parallel", 0.135851
400000, "Built-in", 0.150556
400000, "Sequential", 0.129926
400000, "Parallel", 0.127152
400000, "Built-in", 0.149049
400000, "Sequential", 0.129174
400000, "Parallel", 0.145824
400000, "Built-in", 0.148383
400000, "Sequential", 0.129135
400000, "Parallel", 0.159747
400000, "Built-in", 0.146971
400000, "Sequential", 0.127574
400000, "Parallel", 0.148913
400000, "Built-in", 0.148264
400000, "Sequential", 0.125055
400000, "Parallel", 0.161740
400000, "Built-in", 0.149086
400000, "Sequential", 0.125838
400000, "Parallel", 0.161832
400000, "Built-in", 0.148352
400000, "Sequential", 0.125996
400000, "Parallel", 0.163577
400000, "Built-in", 0.161253
500000, "Sequential", 0.158496
500000, "Parallel", 0.176348
500000, "Built-in", 0.187027
500000, "Sequential", 0.159821
500000, "Parallel", 0.182307
500000, "Built-in", 0.186865
500000, "Sequential", 0.165699
500000, "Parallel", 0.186859
500000, "Built-in", 0.185504
500000, "Sequential", 0.165658
500000, "Parallel", 0.164880
500000, "Built-in", 0.196632
500000, "Sequential", 0.163879
500000, "Parallel", 0.172931
500000, "Built-in", 0.187240
500000, "Sequential", 0.163374
500000, "Parallel", 0.192012
500000, "Built-in", 0.188190
500000, "Sequential", 0.163673
500000, "Parallel", 0.192695
500000, "Built-in", 0.189792
500000, "Sequential", 0.159648
500000, "Parallel", 0.164438
500000, "Built-in", 0.187183
500000, "Sequential", 0.159153
500000, "Parallel", 0.155294
500000, "Built-in", 0.187053
500000, "Sequential", 0.161412
500000, "Parallel", 0.174217
500000, "Built-in", 0.186979
500000, "Sequential", 0.164482
500000, "Parallel", 0.170506
500000, "Built-in", 0.185170
500000, "Sequential", 0.166074
500000, "Parallel", 0.159539
500000, "Built-in", 0.207597
500000, "Sequential", 0.165353
500000, "Parallel", 0.181941
500000, "Built-in", 0.189139
500000, "Sequential", 0.167197
500000, "Parallel", 0.161592
500000, "Built-in", 0.187511
500000, "Sequential", 0.160704
500000, "Parallel", 0.181145
500000, "Built-in", 0.187305
500000, "Sequential", 0.159189
500000, "Parallel", 0.175562
500000, "Built-in", 0.201000
500000, "Sequential", 0.161197
500000, "Parallel", 0.174580
500000, "Built-in", 0.187694
500000, "Sequential", 0.163303
500000, "Parallel", 0.172722
500000, "Built-in", 0.188538
500000, "Sequential", 0.166038
500000, "Parallel", 0.181410
500000, "Built-in", 0.187332
500000, "Sequential", 0.163591
500000, "Parallel", 0.190195
500000, "Built-in", 0.188244
500000, "Sequential", 0.162928
500000, "Parallel", 0.172760
500000, "Built-in", 0.187872
500000, "Sequential", 0.158584
500000, "Parallel", 0.191351
500000, "Built-in", 0.186141
500000, "Sequential", 0.171626
500000, "Parallel", 0.188804
500000, "Built-in", 0.188099
500000, "Sequential", 0.220858
500000, "Parallel", 0.211372
500000, "Built-in", 0.187221
500000, "Sequential", 0.158855
500000, "Parallel", 0.173970
500000, "Built-in", 0.195603
500000, "Sequential", 0.160490
500000, "Parallel", 0.184894
500000, "Built-in", 0.186045
500000, "Sequential", 0.163208
500000, "Parallel", 0.173604
500000, "Built-in", 0.190914
500000, "Sequential", 0.173734
500000, "Parallel", 0.179187
500000, "Built-in", 0.188408
500000, "Sequential", 0.184863
500000, "Parallel", 0.186284
500000, "Built-in", 0.187557
500000, "Sequential", 0.242909
500000, "Parallel", 0.261527
500000, "Built-in", 0.201479
600000, "Sequential", 0.205096
600000, "Parallel", 0.209869
600000, "Built-in", 0.251927
600000, "Sequential", 0.212774
600000, "Parallel", 0.240717
600000, "Built-in", 0.302758
600000, "Sequential", 0.214404
600000, "Parallel", 0.251585
600000, "Built-in", 0.235458
600000, "Sequential", 0.220299
600000, "Parallel", 0.200345
600000, "Built-in", 0.244673
600000, "Sequential", 0.216022
600000, "Parallel", 0.216005
600000, "Built-in", 0.232210
600000, "Sequential", 0.221633
600000, "Parallel", 0.246354
600000, "Built-in", 0.240733
600000, "Sequential", 0.208612
600000, "Parallel", 0.223447
600000, "Built-in", 0.253335
600000, "Sequential", 0.212380
600000, "Parallel", 0.190064
600000, "Built-in", 0.232349
600000, "Sequential", 0.194357
600000, "Parallel", 0.191048
600000, "Built-in", 0.244155
600000, "Sequential", 0.196515
600000, "Parallel", 0.200569
600000, "Built-in", 0.230944
600000, "Sequential", 0.194965
600000, "Parallel", 0.211292
600000, "Built-in", 0.233396
600000, "Sequential", 0.207687
600000, "Parallel", 0.209559
600000, "Built-in", 0.254379
600000, "Sequential", 0.197641
600000, "Parallel", 0.200043
600000, "Built-in", 0.227389
600000, "Sequential", 0.192421
600000, "Parallel", 0.183780
600000, "Built-in", 0.239414
600000, "Sequential", 0.197502
600000, "Parallel", 0.195995
600000, "Built-in", 0.242246
600000, "Sequential", 0.210179
600000, "Parallel", 0.247120
600000, "Built-in", 0.231965
600000, "Sequential", 0.194495
600000, "Parallel", 0.194761
600000, "Built-in", 0.226392
600000, "Sequential", 0.198749
600000, "Parallel", 0.224274
600000, "Built-in", 0.230461
600000, "Sequential", 0.204403
600000, "Parallel", 0.222662
600000, "Built-in", 0.232407
600000, "Sequential", 0.202568
600000, "Parallel", 0.200692
600000, "Built-in", 0.351974
600000, "Sequential", 0.200042
600000, "Parallel", 0.235682
600000, "Built-in", 0.229578
600000, "Sequential", 0.199918
600000, "Parallel", 0.232807
600000, "Built-in", 0.228495
600000, "Sequential", 0.200517
600000, "Parallel", 0.187832
600000, "Built-in", 0.227706
600000, "Sequential", 0.205674
600000, "Parallel", 0.198719
600000, "Built-in", 0.229974
600000, "Sequential", 0.234043
600000, "Parallel", 0.203018
600000, "Built-in", 0.235969
600000, "Sequential", 0.204863
600000, "Parallel", 0.195413
600000, "Built-in", 0.228503
600000, "Sequential", 0.206026
600000, "Parallel", 0.194877
600000, "Built-in", 0.240649
600000, "Sequential", 0.204229
600000, "Parallel", 0.196695
600000, "Built-in", 0.229143
600000, "Sequential", 0.198075
600000, "Parallel", 0.216771
600000, "Built-in", 0.225790
600000, "Sequential", 0.195240
600000, "Parallel", 0.194147
600000, "Built-in", 0.236811
700000, "Sequential", 0.233121
700000, "Parallel", 0.207683
700000, "Built-in", 0.269363
700000, "Sequential", 0.230950
700000, "Parallel", 0.201256
700000, "Built-in", 0.268724
700000, "Sequential", 0.228291
700000, "Parallel", 0.211078
700000, "Built-in", 0.264753
700000, "Sequential", 0.236314
700000, "Parallel", 0.202866
700000, "Built-in", 0.265974
700000, "Sequential", 0.236138
700000, "Parallel", 0.194768
700000, "Built-in", 0.265156
700000, "Sequential", 0.235131
700000, "Parallel", 0.207009
700000, "Built-in", 0.266634
700000, "Sequential", 0.231885
700000, "Parallel", 0.212091
700000, "Built-in", 0.265872
700000, "Sequential", 0.238673
700000, "Parallel", 0.188579
700000, "Built-in", 0.267973
700000, "Sequential", 0.246775
700000, "Parallel", 0.199681
700000, "Built-in", 0.273434
700000, "Sequential", 0.230500
700000, "Parallel", 0.219341
700000, "Built-in", 0.275923
700000, "Sequential", 0.237384
700000, "Parallel", 0.219286
700000, "Built-in", 0.285048
700000, "Sequential", 0.231146
700000, "Parallel", 0.233718
700000, "Built-in", 0.272376
700000, "Sequential", 0.233909
700000, "Parallel", 0.230677
700000, "Built-in", 0.271897
700000, "Sequential", 0.228961
700000, "Parallel", 0.219297
700000, "Built-in", 0.274226
700000, "Sequential", 0.242715
700000, "Parallel", 0.220982
700000, "Built-in", 0.269923
700000, "Sequential", 0.231146
700000, "Parallel", 0.218231
700000, "Built-in", 0.273035
700000, "Sequential", 0.228894
700000, "Parallel", 0.211716
700000, "Built-in", 0.270065
700000, "Sequential", 0.225404
700000, "Parallel", 0.210281
700000, "Built-in", 0.275386
700000, "Sequential", 0.242916
700000, "Parallel", 0.230472
700000, "Built-in", 0.279546
700000, "Sequential", 0.230072
700000, "Parallel", 0.204926
700000, "Built-in", 0.270555
700000, "Sequential", 0.235560
700000, "Parallel", 0.229157
700000, "Built-in", 0.270499
700000, "Sequential", 0.227496
700000, "Parallel", 0.226883
700000, "Built-in", 0.282050
700000, "Sequential", 0.233164
700000, "Parallel", 0.228412
700000, "Built-in", 0.273883
700000, "Sequential", 0.232095
700000, "Parallel", 0.214788
700000, "Built-in", 0.272230
700000, "Sequential", 0.248769
700000, "Parallel", 0.219538
700000, "Built-in", 0.271995
700000, "Sequential", 0.230120
700000, "Parallel", 0.213252
700000, "Built-in", 0.266003
700000, "Sequential", 0.227457
700000, "Parallel", 0.186268
700000, "Built-in", 0.281399
700000, "Sequential", 0.231088
700000, "Parallel", 0.200050
700000, "Built-in", 0.265924
700000, "Sequential", 0.230183
700000, "Parallel", 0.224368
700000, "Built-in", 0.267216
700000, "Sequential", 0.230496
700000, "Parallel", 0.210470
700000, "Built-in", 0.263986
800000, "Sequential", 0.261469
800000, "Parallel", 0.224632
800000, "Built-in", 0.308330
800000, "Sequential", 0.268640
800000, "Parallel", 0.210179
800000, "Built-in", 0.309738
800000, "Sequential", 0.268850
800000, "Parallel", 0.265052
800000, "Built-in", 0.311806
800000, "Sequential", 0.272539
800000, "Parallel", 0.226034
800000, "Built-in", 0.308229
800000, "Sequential", 0.266464
800000, "Parallel", 0.231811
800000, "Built-in", 0.312836
800000, "Sequential", 0.265185
800000, "Parallel", 0.222901
800000, "Built-in", 0.316987
800000, "Sequential", 0.269724
800000, "Parallel", 0.246350
800000, "Built-in", 0.310471
800000, "Sequential", 0.271120
800000, "Parallel", 0.221323
800000, "Built-in", 0.311547
800000, "Sequential", 0.279676
800000, "Parallel", 0.237998
800000, "Built-in", 0.306938
800000, "Sequential", 0.261963
800000, "Parallel", 0.224469
800000, "Built-in", 0.307396
800000, "Sequential", 0.268305
800000, "Parallel", 0.241330
800000, "Built-in", 0.306113
800000, "Sequential", 0.267135
800000, "Parallel", 0.223069
800000, "Built-in", 0.307866
800000, "Sequential", 0.275471
800000, "Parallel", 0.222410
800000, "Built-in", 0.307893
800000, "Sequential", 0.262809
800000, "Parallel", 0.226094
800000, "Built-in", 0.323575
800000, "Sequential", 0.264472
800000, "Parallel", 0.220869
800000, "Built-in", 0.307265
800000, "Sequential", 0.274656
800000, "Parallel", 0.247806
800000, "Built-in", 0.324064
800000, "Sequential", 0.278961
800000, "Parallel", 0.257111
800000, "Built-in", 0.312972
800000, "Sequential", 0.271283
800000, "Parallel", 0.245282
800000, "Built-in", 0.326233
800000, "Sequential", 0.278069
800000, "Parallel", 0.240420
800000, "Built-in", 0.325237
800000, "Sequential", 0.274786
800000, "Parallel", 0.265052
800000, "Built-in", 0.316002
800000, "Sequential", 0.279062
800000, "Parallel", 0.257895
800000, "Built-in", 0.331794
800000, "Sequential", 0.275480
800000, "Parallel", 0.235207
800000, "Built-in", 0.321960
800000, "Sequential", 0.269588
800000, "Parallel", 0.241232
800000, "Built-in", 0.313619
800000, "Sequential", 0.270633
800000, "Parallel", 0.230627
800000, "Built-in", 0.311540
800000, "Sequential", 0.298989
800000, "Parallel", 0.249360
800000, "Built-in", 0.314856
800000, "Sequential", 0.272376
800000, "Parallel", 0.236659
800000, "Built-in", 0.311502
800000, "Sequential", 0.268753
800000, "Parallel", 0.240690
800000, "Built-in", 0.324672
800000, "Sequential", 0.271976
800000, "Parallel", 0.244484
800000, "Built-in", 0.311216
800000, "Sequential", 0.284310
800000, "Parallel", 0.245015
800000, "Built-in", 0.309377
800000, "Sequential", 0.270216
800000, "Parallel", 0.240020
800000, "Built-in", 0.321243
